"match_id","time","home_fault","card","away_fault"
150761,"34","","yellow card","Feghouli S."
150761,"35","Kucher O.","yellow card",""
150761,"59","","yellow card","Kabak O."
150761,"63","Mensah B.","yellow card",""
150761,"75","","yellow card","Onyekuru H."
150761,"80","Sapunaru C.","yellow card",""
150842,"22","","yellow card","Mina Y."
150842,"28","Jorginho","yellow card",""
150842,"33","Kante N.","yellow card",""
150842,"45+2","Rudiger A.","yellow card",""
150842,"45+2","","yellow card","Bernard"
150842,"73","","yellow card","Pickford J."
150842,"87","Morata A.","yellow card",""
150843,"69","Ozil M.","yellow card",""
150843,"71","","yellow card","Doherty M."
150843,"74","","yellow card","Costa H."
150843,"78","Bellerin H.","yellow card",""
150844,"33","Silva B.","yellow card",""
150844,"42","","yellow card","Shaw L."
150846,"12","","yellow card","Lautoa W."
150846,"44","","yellow card","Ciman L."
150847,"7","","yellow card","Toure A."
150847,"21","","yellow card","Kwateng E."
150847,"51","Zeffane M.","yellow card",""
150847,"53","Andre B.","yellow card",""
150847,"56","","yellow card","Diego"
150847,"59","Bensebaini R.","yellow card",""
150847,"64","Grenier C.","yellow card",""
150849,"45","","yellow card","Volland K."
150850,"31","","yellow card","Bentaleb N."
150850,"73","","yellow card","Sane S."
150851,"25","","yellow card","Vecino M."
150851,"35","","yellow card","Brozovic M."
150851,"41","","yellow card","Skriniar M."
150851,"69","Hateboer H.","yellow card",""
150851,"76","","yellow card","Gagliardini R."
150851,"78","De Roon M.","yellow card",""
150851,"79","Gomez A.","yellow card",""
150851,"90+2","","red card","Brozovic M."
150852,"18","","yellow card","Linetty K."
150852,"40","Florenzi A.","yellow card",""
150855,"23","Duncan A.","yellow card",""
150855,"28","","yellow card","Radu S."
150855,"41","","yellow card","Alberto L."
150855,"51","Adjapong C.","yellow card",""
150855,"54","","yellow card","Luiz Felipe"
150855,"71","Marlon","yellow card",""
150855,"76","Locatelli M.","yellow card",""
150856,"34","","yellow card","Benatia M."
150856,"61","Bakayoko T.","yellow card",""
150856,"83","Higuain G.","yellow card",""
150856,"83","Higuain G.","red card",""
150856,"87","Borini F.","yellow card",""
150862,"24","","yellow card","Guardado A."
150862,"44","Rakitic I.","yellow card",""
150862,"59","Busquets S.","yellow card",""
150862,"69","","yellow card","Mandi A."
150862,"73","Vidal A.","yellow card",""
150864,"8","Vazquez F.","yellow card",""
150864,"18","Carrico D.","yellow card",""
150864,"54","","yellow card","Granero E."
150864,"62","Mercado G.","yellow card",""
150864,"83","","yellow card","Lopez D."
150864,"88","Escudero S.","yellow card",""
150865,"37","","yellow card","Reguilon S."
